"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"SW_SPST_KXT3";1;"USER_SW";;;
2;"MK3,MK2,MK1";"MountingHole_2.2mm_M2_DIN965_Pad";3;"Mounting_Hole_PAD";;;
3;"J19,J18,J16,J17,J20";"TE-Connectivity_Micro-Match_connector_02x02_Pitch_1.27mm";5;"CONN_01X04";;;
4;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"ICSP";;;
5;"U4";"TQFP-32_7x7mm_P0.8mm";1;"ATMEGA328PB-AU";;;
6;"Y1";"Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm";1;"TSX-3225 20MHz";;;
7;"J6";"JST_S10B-PHDSS_2x05x2.00mm_Angled";1;"JST_PHD_connector_02x05_angled_male";;;
8;"C1,C3,C8,C9,C10,C11,C12,C13,C14,C15,C16";"C_0402_1005Metric";11;"100n";;;
9;"C4,C5";"C_0402_1005Metric";2;"22p";;;
10;"C6,C7";"C_0402_1005Metric";2;"1u";;;
11;"S-IN1,Aref1,S1,S2,S3,S4,S5";"TestPoint_Pad_D1.0mm";7;"TEST_1P";;;
12;"JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"XTAL_EN1";;;
13;"JP2";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"XTAL_EN2";;;
14;"R2,R9";"R_0402_1005Metric";2;"10k";;;
15;"R3,R4,R5,R6,R7";"R_1206_3216Metric";5;"10mOhm";;;
16;"SW1";"SW_SPST_SKQG";1;"SW_Push";;;
17;"U1,U7,U8,U9,U10,U11";"SOT-23-5";6;"INA180";;;
18;"U3";"X2SON-8_1.4x1mm_P0.35mm";1;"NTS0102";;;
19;"U5";"SOT-23-5";1;"MIC5504-3.3YM5";;;
20;"U2";"Bosch_LGA-14_3x2.5mm_P0.5mm";1;"BMI160";;;
21;"R1";"R_1206_3216Metric";1;"1mOhm";;;
22;"C2";"CP_Elec_4x5.3";1;"22u";;;
23;"G***";"R1_face_mask_5.5mm";1;"LOGO";;;
24;"G***";"R1_eyes_mask_5.5mm";1;"LOGO";;;
25;"G***";"R1_ear_silk_5.5mm";1;"LOGO";;;
26;"D1";"LED_0603_1608Metric";1;"LED";;;
27;"R8";"R_0402_1005Metric";1;"1k";;;
28;"G***";"Roboy_text_5.5mm";1;"LOGO";;;
29;"D2";"LED_0603_1608Metric";1;"USER_LED(PB0)";;;
30;"J1";"PinHeader_2x08_P1.27mm_Vertical";1;"CONN_02X08";;;
